;race_idx;race_name;ALG;ALO;BAR;BUE;BUT;CHA;DLR;DGR;GLO;HAM;HUL;KOB;KOV;KUB;LIU;MAS;PET;ROS;MSC;SEN;SUT;TRU;VET;WEB
0;1;BHR;18;3;11;15;8;24;14;22;19;4;13;16;21;9;12;2;17;5;7;23;10;20;1;6
1;2;AUS;17;3;8;12;4;24;14;22;21;11;15;16;19;9;13;5;18;6;7;23;10;20;1;2
2;3;MYS;14;19;7;13;17;22;12;24;16;20;5;9;15;6;10;21;11;2;8;23;4;18;3;1
3;4;CHN;12;3;11;13;5;24;17;22;19;6;16;15;21;8;18;7;14;4;9;23;10;20;1;2
4;5;ESP;15;4;17;14;5;24;12;23;22;3;13;10;20;7;16;9;19;8;6;21;11;18;2;1
5;6;MCO;17;24;9;13;8;23;15;21;20;5;11;16;18;2;10;4;14;6;7;22;12;19;3;1
6;7;TUR;16;12;15;14;4;24;13;23;21;2;17;10;20;7;18;8;9;6;5;22;11;19;3;1
7;8;CAN;16;3;11;15;4;24;17;23;21;1;12;18;19;8;5;6;14;10;13;22;9;20;2;7
8;9;EUR;17;4;9;11;7;23;16;21;22;3;8;18;20;6;14;5;10;12;15;24;13;19;1;2
9;10;GBR;17;3;8;16;14;23;9;22;19;4;13;12;18;6;20;7;15;5;10;-;11;21;1;2
10;11;DEU;15;2;8;16;5;-;14;24;23;6;10;12;18;7;21;3;13;9;11;20;19;17;1;4
11;12;HUN;17;3;12;15;11;-;9;21;18;5;10;23;19;8;16;4;7;6;14;22;13;20;1;2
12;13;BEL;11;10;7;16;5;-;24;22;20;2;9;17;13;3;12;6;23;14;21;18;8;15;4;1
13;14;ITA;15;1;10;14;2;-;16;21;24;5;8;13;18;9;19;3;20;7;12;22;11;17;6;4
14;15;SGP;11;1;6;13;4;-;-;20;18;3;17;10;19;8;16;24;12;7;9;23;15;21;2;5
15;16;JPN;16;4;7;18;5;-;-;21;22;8;9;14;20;3;17;12;13;6;10;23;15;19;1;2
16;17;KOR;15;3;10;16;7;-;-;22;19;4;11;12;21;8;17;6;20;5;9;24;14;18;1;2
17;18;BRA;14;5;6;19;11;-;-;21;17;4;1;12;20;7;16;9;10;13;8;24;22;18;2;3
18;19;ABD;17;3;7;18;4;-;-;22;21;2;15;12;20;11;16;6;10;9;8;23;13;19;1;5
